iteration,loss,params,train_time
1,0.7136503270027441,"{'depth': 4.0, 'l2_leaf_reg': 17.0, 'learning_rate': 0.1340692673209051, 'one_hot_max_size': 2, 'rsm': 0.5572495708621457}",2453.8200935493624
2,0.6532560362023461,"{'depth': 5.0, 'l2_leaf_reg': 3.0, 'learning_rate': 0.08019041115632762, 'one_hot_max_size': 2, 'rsm': 0.34512809960292457}",3574.988559382102
3,0.8431871244111373,"{'depth': 5.0, 'l2_leaf_reg': 69.0, 'learning_rate': 0.05559206807662523, 'one_hot_max_size': 20, 'rsm': 0.022164425319898817}",698.1785783241794
4,0.6934609805979095,"{'depth': 4.0, 'l2_leaf_reg': 18.0, 'learning_rate': 0.09781973076382851, 'one_hot_max_size': 2, 'rsm': 0.6240032305099308}",3835.405941962701
5,0.7793224703150659,"{'depth': 2.0, 'l2_leaf_reg': 37.0, 'learning_rate': 0.11065395051849054, 'one_hot_max_size': 20, 'rsm': 0.7302578041491085}",1314.5862608669995
6,0.7589405214597047,"{'depth': 4.0, 'l2_leaf_reg': 25.0, 'learning_rate': 0.02166570665231021, 'one_hot_max_size': 2, 'rsm': 0.865277892292898}",4207.65304789145
7,0.6827162411554977,"{'depth': 8.0, 'l2_leaf_reg': 46.0, 'learning_rate': 0.0392006393054215, 'one_hot_max_size': 20, 'rsm': 0.8280432743593791}",7902.773057154016
8,0.6600365431601481,"{'depth': 5.0, 'l2_leaf_reg': 12.0, 'learning_rate': 0.18701409388865778, 'one_hot_max_size': 2, 'rsm': 0.5156078191294511}",3416.176510924248
9,0.7711641109092529,"{'depth': 8.0, 'l2_leaf_reg': 37.0, 'learning_rate': 0.006788005420166376, 'one_hot_max_size': 20, 'rsm': 0.5009003966114127}",6070.3741904073395
10,0.7977170095892594,"{'depth': 2.0, 'l2_leaf_reg': 3.0, 'learning_rate': 0.051694690376827154, 'one_hot_max_size': 20, 'rsm': 0.5581330706015355}",1264.0622817860349
11,0.7621741782414002,"{'depth': 6.0, 'l2_leaf_reg': 63.0, 'learning_rate': 0.01662655491363865, 'one_hot_max_size': 20, 'rsm': 0.9458286222536741}",5604.080695308352
12,0.6463327271659376,"{'depth': 5.0, 'l2_leaf_reg': 2.0, 'learning_rate': 0.06218462935144204, 'one_hot_max_size': 20, 'rsm': 0.9492290749219809}",5113.3429006974475
13,0.6492963314362001,"{'depth': 6.0, 'l2_leaf_reg': 2.0, 'learning_rate': 0.0518701547981861, 'one_hot_max_size': 2, 'rsm': 0.9353950645809282}",7315.79631748797
14,0.7972791618677212,"{'depth': 2.0, 'l2_leaf_reg': 1.0, 'learning_rate': 0.0764397267327156, 'one_hot_max_size': 20, 'rsm': 0.8691071714453465}",1302.0056438158063
15,0.7197645554906542,"{'depth': 4.0, 'l2_leaf_reg': 3.0, 'learning_rate': 0.030724854305911167, 'one_hot_max_size': 2, 'rsm': 0.3114869454358329}",2756.7933292836387
16,0.681994709005632,"{'depth': 6.0, 'l2_leaf_reg': 13.0, 'learning_rate': 0.03170416312550571, 'one_hot_max_size': 20, 'rsm': 0.5840261003971998}",5072.312344167251
17,0.8721943463462959,"{'depth': 2.0, 'l2_leaf_reg': 37.0, 'learning_rate': 0.009469091284636653, 'one_hot_max_size': 20, 'rsm': 0.6005097843528902}",1543.7201492274035
18,0.9869621342352742,"{'depth': 1.0, 'l2_leaf_reg': 2.0, 'learning_rate': 0.03189717065129639, 'one_hot_max_size': 2, 'rsm': 0.8572190410023073}",616.8244640828489
19,0.7844383471633172,"{'depth': 7.0, 'l2_leaf_reg': 15.0, 'learning_rate': 0.005519432084947417, 'one_hot_max_size': 2, 'rsm': 0.9010117916128323}",7772.687918507363
